education_level,specialization,skills,certifications,cgpa/percentage,recommended_career,cgpa/percentage_is_outlier,job_title_original,job_title_clean,career_family,education_category,education_encoded,skills_combined,skill_list,skill_count,skill_tokens,skill_tfidf_accounting,skill_tfidf_communication,skill_tfidf_counseling,skill_tfidf_data_analysis,skill_tfidf_financial_analysis,skill_tfidf_machine_learning,skill_tfidf_marketing,skill_tfidf_ms_office,skill_tfidf_python,skill_tfidf_sql
phd,Psychology,Financial Analysis,Digital Marketing,82,School Counselor,0,School Counselor,Other,Other,Doctorate,4,financial analysis,['financial analysis'],1,financial_analysis,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
matric,Commerce,Accounting,CFA Level 1,72,Data Entry Operator,0,Data Entry Operator,Other,Other,Bachelors,2,accounting,['accounting'],1,accounting,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masters,Psychology,"Counseling, Python, Accounting",Mental Health Basics,78,Financial Analyst,0,Financial Analyst,Financial Analyst,Business And Finance,Masters,3,"counseling, python, accounting","['counseling', 'python', 'accounting']",3,counseling python accounting,0.5766403416869322,0.0,0.5826361972419216,0.0,0.0,0.0,0.0,0.0,0.5727311568289704,0.0
intermediate,Business,Communication,CFA Level 1,77,Research Scientist,0,Research Scientist,Research Analyst,Policy And Research,Bachelors,2,communication,['communication'],1,communication,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phd,Computer Science,Communication,Digital Marketing,95,Financial Analyst,0,Financial Analyst,Financial Analyst,Business And Finance,Doctorate,4,communication,['communication'],1,communication,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matric,Business,"Communication, Data Analysis, Counseling",CFA Level 1,93,Software Engineer,0,Software Engineer,Software Engineer,Technology,Bachelors,2,"communication, data analysis, counseling","['communication', 'data analysis', 'counseling']",3,communication data_analysis counseling,0.0,0.5812863905004313,0.5776862482901947,0.5730486286131219,0.0,0.0,0.0,0.0,0.0,0.0
bachelors,Finance,"Python, MS Office, Accounting",Unknown,60,Financial Analyst,0,Financial Analyst,Financial Analyst,Business And Finance,Bachelors,2,"python, ms office, accounting","['python', 'ms office', 'accounting']",3,python ms_office accounting,0.5780636337059918,0.0,0.0,0.0,0.0,0.0,0.0,0.5798277192518341,0.5741448000059232,0.0
phd,Science,"Data Analysis, SQL, MS Office",Digital Marketing,65,Sales Assistant,0,Sales Assistant,Other,Business And Finance,Doctorate,4,"data analysis, sql, ms office","['data analysis', 'sql', 'ms office']",3,data_analysis sql ms_office,0.0,0.0,0.0,0.5760950679051978,0.0,0.0,0.0,0.576534888990569,0.0,0.5794152177082836
bachelors,Business,"Marketing, Counseling, SQL",Creative Writing,87,Data Entry Operator,0,Data Entry Operator,Other,Other,Bachelors,2,"marketing, counseling, sql","['marketing', 'counseling', 'sql']",3,marketing counseling sql,0.0,0.0,0.578240797970594,0.0,0.0,0.0,0.5769044893057821,0.0,0.0,0.5769044893057821
bachelors,Engineering,Marketing,Unknown,68,Clerk,0,Clerk,Other,Business And Finance,Bachelors,2,marketing,['marketing'],1,marketing,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
matric,Finance,Accounting,Google Data Analytics,88,Clerk,0,Clerk,Other,Business And Finance,Bachelors,2,accounting,['accounting'],1,accounting,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phd,Psychology,"Counseling, Machine Learning",Creative Writing,60,School Counselor,0,School Counselor,Other,Other,Doctorate,4,"counseling, machine learning","['counseling', 'machine learning']",2,counseling machine_learning,0.0,0.0,0.702115492740003,0.0,0.0,0.7120630834795908,0.0,0.0,0.0,0.0
masters,Engineering,"Python, Financial Analysis, Marketing",Digital Marketing,73,Sales Assistant,0,Sales Assistant,Other,Business And Finance,Masters,3,"python, financial analysis, marketing","['python', 'financial analysis', 'marketing']",3,python financial_analysis marketing,0.0,0.0,0.0,0.0,0.5794441038518663,0.0,0.5805585553262437,0.0,0.5720107467074481,0.0
intermediate,Science,Marketing,AWS Certified,92,School Counselor,0,School Counselor,Other,Other,Bachelors,2,marketing,['marketing'],1,marketing,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
matric,Computer Science,"Accounting, Machine Learning, SQL",Creative Writing,90,Clerk,0,Clerk,Other,Business And Finance,High School,1,"accounting, machine learning, sql","['accounting', 'machine learning', 'sql']",3,accounting machine_learning sql,0.5710810819629463,0.0,0.0,0.0,0.0,0.5851943550513974,0.0,0.0,0.0,0.5756856474153319
phd,Finance,"Counseling, Communication, Machine Learning",Mental Health Basics,62,Data Entry Operator,0,Data Entry Operator,Other,Other,Doctorate,4,"counseling, communication, machine learning","['counseling', 'communication', 'machine learning']",3,counseling communication machine_learning,0.0,0.5770149770631772,0.5734412894475502,0.0,0.0,0.581565820695742,0.0,0.0,0.0,0.0
bachelors,Computer Science,"Financial Analysis, Accounting, Data Analysis",Tally ERP,78,Financial Analyst,0,Financial Analyst,Financial Analyst,Business And Finance,Bachelors,2,"financial analysis, accounting, data analysis","['financial analysis', 'accounting', 'data analysis']",3,financial_analysis accounting data_analysis,0.5757336331661231,0.0,0.0,0.577050058039276,0.5792616111552742,0.0,0.0,0.0,0.0,0.0
bachelors,Arts,Accounting,Digital Marketing,90,Data Entry Operator,0,Data Entry Operator,Other,Other,Bachelors,2,accounting,['accounting'],1,accounting,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intermediate,Engineering,Python,Tally ERP,76,Junior Accountant,0,Junior Accountant,Accountant,Business And Finance,High School,1,python,['python'],1,python,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
phd,Engineering,"Data Analysis, Communication",Creative Writing,95,Clerk,0,Clerk,Other,Business And Finance,Doctorate,4,"data analysis, communication","['data analysis', 'communication']",2,data_analysis communication,0.0,0.7121348233687004,0.0,0.7020427290027509,0.0,0.0,0.0,0.0,0.0,0.0
phd,Engineering,"Machine Learning, Accounting, Communication",Digital Marketing,91,Sales Assistant,0,Sales Assistant,Other,Business And Finance,Doctorate,4,"machine learning, accounting, communication","['machine learning', 'accounting', 'communication']",3,machine_learning accounting communication,0.5694604400271264,0.5789674194789868,0.0,0.0,0.0,0.5835336617762121,0.0,0.0,0.0,0.0
masters,Commerce,Communication,AWS Certified,80,Software Engineer,0,Software Engineer,Software Engineer,Technology,Masters,3,communication,['communication'],1,communication,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masters,Arts,Marketing,Google Data Analytics,76,Research Scientist,0,Research Scientist,Research Analyst,Policy And Research,Masters,3,marketing,['marketing'],1,marketing,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
masters,Computer Science,"Financial Analysis, Counseling",Creative Writing,85,ML Engineer,0,ML Engineer,Machine Learning Engineer,Technology,Masters,3,"financial analysis, counseling","['financial analysis', 'counseling']",2,financial_analysis counseling,0.0,0.0,0.7086025343306636,0.0,0.7056078573401524,0.0,0.0,0.0,0.0,0.0
phd,Psychology,"Python, Financial Analysis, Counseling",Creative Writing,63,Sales Assistant,0,Sales Assistant,Other,Business And Finance,Doctorate,4,"python, financial analysis, counseling","['python', 'financial analysis', 'counseling']",3,python financial_analysis counseling,0.0,0.0,0.5814490312960644,0.0,0.5789917270234766,0.0,0.0,0.0,0.5715641731627693,0.0
phd,Commerce,"Financial Analysis, Marketing, Machine Learning",AWS Certified,81,Data Entry Operator,0,Data Entry Operator,Other,Other,Doctorate,4,"financial analysis, marketing, machine learning","['financial analysis', 'marketing', 'machine learning']",3,financial_analysis marketing machine_learning,0.0,0.0,0.0,0.0,0.5734321959170613,0.5840247881950583,0.5745350846201253,0.0,0.0,0.0
phd,Business,Accounting,CFA Level 1,79,Business Analyst,0,Business Analyst,Business Analyst,Business And Finance,Doctorate,4,accounting,['accounting'],1,accounting,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intermediate,Finance,Accounting,AWS Certified,65,ML Engineer,0,ML Engineer,Machine Learning Engineer,Technology,Bachelors,2,accounting,['accounting'],1,accounting,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bachelors,Science,"Data Analysis, Financial Analysis, SQL",Unknown,66,Sales Assistant,0,Sales Assistant,Other,Business And Finance,Bachelors,2,"data analysis, financial analysis, sql","['data analysis', 'financial analysis', 'sql']",3,data_analysis financial_analysis sql,0.0,0.0,0.0,0.5755078210842719,0.5777134635537049,0.0,0.0,0.0,0.0,0.5788245864677966
masters,Engineering,"SQL, Communication, Counseling",Creative Writing,80,ML Engineer,0,ML Engineer,Machine Learning Engineer,Technology,Masters,3,"sql, communication, counseling","['sql', 'communication', 'counseling']",3,sql communication counseling,0.0,0.5801862402425562,0.5765929117087545,0.0,0.0,0.0,0.0,0.0,0.0,0.5752604112925097
bachelors,Business,"Machine Learning, SQL, Counseling",Digital Marketing,68,Software Engineer,0,Software Engineer,Software Engineer,Technology,Bachelors,2,"machine learning, sql, counseling","['machine learning', 'sql', 'counseling']",3,machine_learning sql counseling,0.0,0.0,0.5750622255686548,0.0,0.0,0.5832097222823783,0.0,0.0,0.0,0.5737332625526753
bachelors,Finance,"Communication, Marketing",Google Data Analytics,81,Clerk,0,Clerk,Other,Business And Finance,Bachelors,2,"communication, marketing","['communication', 'marketing']",2,communication marketing,0.0,0.7101148223264059,0.0,0.0,0.0,0.0,0.7040858890166292,0.0,0.0,0.0
bachelors,Psychology,Counseling,Google Data Analytics,67,Sales Assistant,0,Sales Assistant,Other,Business And Finance,Bachelors,2,counseling,['counseling'],1,counseling,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masters,Business,MS Office,Digital Marketing,82,ML Engineer,0,ML Engineer,Machine Learning Engineer,Technology,Masters,3,ms office,['ms office'],1,ms_office,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
bachelors,Commerce,Financial Analysis,Google Data Analytics,73,Financial Analyst,0,Financial Analyst,Financial Analyst,Business And Finance,Bachelors,2,financial analysis,['financial analysis'],1,financial_analysis,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
phd,Psychology,"Python, Counseling",Digital Marketing,90,Clerk,0,Clerk,Other,Business And Finance,Doctorate,4,"python, counseling","['python', 'counseling']",2,python counseling,0.0,0.0,0.7131426475836176,0.0,0.0,0.0,0.0,0.0,0.701018947103021,0.0
intermediate,Psychology,"Financial Analysis, Counseling",Mental Health Basics,95,Research Scientist,0,Research Scientist,Research Analyst,Policy And Research,High School,1,"financial analysis, counseling","['financial analysis', 'counseling']",2,financial_analysis counseling,0.0,0.0,0.7086025343306636,0.0,0.7056078573401524,0.0,0.0,0.0,0.0,0.0
masters,Business,Accounting,Digital Marketing,70,Sales Assistant,0,Sales Assistant,Other,Business And Finance,Masters,3,accounting,['accounting'],1,accounting,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matric,Finance,"MS Office, Communication, SQL",Google Data Analytics,61,Sales Assistant,0,Sales Assistant,Other,Business And Finance,Bachelors,2,"ms office, communication, sql","['ms office', 'communication', 'sql']",3,ms_office communication sql,0.0,0.5815886240275676,0.0,0.0,0.0,0.0,0.0,0.573784301750985,0.0,0.5766508887237193
bachelors,Commerce,"MS Office, Marketing, SQL",Tally ERP,60,ML Engineer,0,ML Engineer,Machine Learning Engineer,Technology,Bachelors,2,"ms office, marketing, sql","['ms office', 'marketing', 'sql']",3,ms_office marketing sql,0.0,0.0,0.0,0.0,0.0,0.0,0.5783069518074614,0.5754321323860225,0.0,0.5783069518074614
matric,Finance,"Machine Learning, Accounting",Mental Health Basics,69,Software Engineer,0,Software Engineer,Software Engineer,Technology,High School,1,"machine learning, accounting","['machine learning', 'accounting']",2,machine_learning accounting,0.6984239490959494,0.0,0.0,0.0,0.0,0.7156842790848619,0.0,0.0,0.0,0.0
phd,Business,"Data Analysis, Counseling",CFA Level 1,65,School Counselor,0,School Counselor,Other,Other,Doctorate,4,"data analysis, counseling","['data analysis', 'counseling']",2,data_analysis counseling,0.0,0.0,0.7099507531893503,0.7042513244899681,0.0,0.0,0.0,0.0,0.0,0.0
phd,Arts,"Communication, Python, Accounting",Creative Writing,60,Data Entry Operator,0,Data Entry Operator,Other,Other,Doctorate,4,"communication, python, accounting","['communication', 'python', 'accounting']",3,communication python accounting,0.5754205126568432,0.5850269938195154,0.0,0.0,0.0,0.0,0.0,0.0,0.5715195973159946,0.0
phd,Arts,"Accounting, Financial Analysis",Tally ERP,76,Business Analyst,0,Business Analyst,Business Analyst,Business And Finance,Doctorate,4,"accounting, financial analysis","['accounting', 'financial analysis']",2,accounting financial_analysis,0.7049436073365806,0.0,0.0,0.0,0.7092633576290889,0.0,0.0,0.0,0.0,0.0
bachelors,Business,"Data Analysis, Counseling, Accounting",Google Data Analytics,95,Professor,0,Professor,Professor,Education,Bachelors,2,"data analysis, counseling, accounting","['data analysis', 'counseling', 'accounting']",3,data_analysis counseling accounting,0.5749137540376413,0.0,0.580891656686114,0.576228304243039,0.0,0.0,0.0,0.0,0.0,0.0
bachelors,Finance,"Marketing, Financial Analysis, Communication",Tally ERP,68,Financial Analyst,0,Financial Analyst,Financial Analyst,Business And Finance,Bachelors,2,"marketing, financial analysis, communication","['marketing', 'financial analysis', 'communication']",3,marketing financial_analysis communication,0.0,0.5810014120896103,0.0,0.0,0.5749628296749816,0.0,0.5760686622634642,0.0,0.0,0.0
phd,Computer Science,"Counseling, Machine Learning",Tally ERP,81,Software Engineer,0,Software Engineer,Software Engineer,Technology,Doctorate,4,"counseling, machine learning","['counseling', 'machine learning']",2,counseling machine_learning,0.0,0.0,0.702115492740003,0.0,0.0,0.7120630834795908,0.0,0.0,0.0,0.0
phd,Commerce,"Marketing, Machine Learning",Digital Marketing,91,Software Engineer,0,Software Engineer,Software Engineer,Technology,Doctorate,4,"marketing, machine learning","['marketing', 'machine learning']",2,marketing machine_learning,0.0,0.0,0.0,0.0,0.0,0.7128747424394368,0.7012913813757493,0.0,0.0,0.0
masters,Finance,"Machine Learning, Marketing",Tally ERP,66,Marketing Executive,0,Marketing Executive,Marketing Specialist,Business And Finance,Masters,3,"machine learning, marketing","['machine learning', 'marketing']",2,machine_learning marketing,0.0,0.0,0.0,0.0,0.0,0.7128747424394368,0.7012913813757493,0.0,0.0,0.0
intermediate,Psychology,MS Office,Mental Health Basics,81,Research Scientist,0,Research Scientist,Research Analyst,Policy And Research,High School,1,ms office,['ms office'],1,ms_office,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
phd,Business,"Counseling, Accounting, Financial Analysis",Mental Health Basics,69,ML Engineer,0,ML Engineer,Machine Learning Engineer,Technology,Doctorate,4,"counseling, accounting, financial analysis","['counseling', 'accounting', 'financial analysis']",3,counseling accounting financial_analysis,0.5741821475068181,0.0,0.580152442974931,0.0,0.5777006183090667,0.0,0.0,0.0,0.0,0.0
masters,Computer Science,"SQL, Counseling, Marketing",Tally ERP,78,Marketing Executive,0,Marketing Executive,Marketing Specialist,Business And Finance,Masters,3,"sql, counseling, marketing","['sql', 'counseling', 'marketing']",3,sql counseling marketing,0.0,0.0,0.578240797970594,0.0,0.0,0.0,0.5769044893057821,0.0,0.0,0.5769044893057821
phd,Computer Science,"SQL, MS Office, Marketing",Tally ERP,82,Software Engineer,0,Software Engineer,Software Engineer,Technology,Doctorate,4,"sql, ms office, marketing","['sql', 'ms office', 'marketing']",3,sql ms_office marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.5783069518074614,0.5754321323860225,0.0,0.5783069518074614
masters,Finance,Financial Analysis,Mental Health Basics,90,Junior Accountant,0,Junior Accountant,Accountant,Business And Finance,Masters,3,financial analysis,['financial analysis'],1,financial_analysis,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
masters,Engineering,Machine Learning,Unknown,79,Marketing Executive,0,Marketing Executive,Marketing Specialist,Business And Finance,Masters,3,machine learning,['machine learning'],1,machine_learning,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
bachelors,Commerce,Counseling,CFA Level 1,80,Research Scientist,0,Research Scientist,Research Analyst,Policy And Research,Bachelors,2,counseling,['counseling'],1,counseling,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masters,Commerce,"Python, Counseling, Marketing",Tally ERP,77,Data Entry Operator,0,Data Entry Operator,Other,Other,Masters,3,"python, counseling, marketing","['python', 'counseling', 'marketing']",3,python counseling marketing,0.0,0.0,0.5810741418202365,0.0,0.0,0.0,0.5797312853263024,0.0,0.5711956569528424,0.0
intermediate,Psychology,"Machine Learning, Financial Analysis, SQL",Digital Marketing,67,Junior Accountant,0,Junior Accountant,Accountant,Business And Finance,High School,1,"machine learning, financial analysis, sql","['machine learning', 'financial analysis', 'sql']",3,machine_learning financial_analysis sql,0.0,0.0,0.0,0.0,0.5734321959170613,0.5840247881950583,0.0,0.0,0.0,0.5745350846201253
masters,Computer Science,"MS Office, Counseling",CFA Level 1,90,Financial Analyst,0,Financial Analyst,Financial Analyst,Business And Finance,Masters,3,"ms office, counseling","['ms office', 'counseling']",2,ms_office counseling,0.0,0.0,0.7096819808747515,0.0,0.0,0.0,0.0,0.7045221685807259,0.0,0.0
phd,Business,"Machine Learning, Financial Analysis, MS Office",Digital Marketing,68,Professor,0,Professor,Professor,Education,Doctorate,4,"machine learning, financial analysis, ms office","['machine learning', 'financial analysis', 'ms office']",3,machine_learning financial_analysis ms_office,0.0,0.0,0.0,0.0,0.5743731196884201,0.5849830929609717,0.0,0.5726170625550788,0.0,0.0
masters,Finance,"Python, Counseling",AWS Certified,79,Junior Accountant,0,Junior Accountant,Accountant,Business And Finance,Masters,3,"python, counseling","['python', 'counseling']",2,python counseling,0.0,0.0,0.7131426475836176,0.0,0.0,0.0,0.0,0.0,0.701018947103021,0.0
intermediate,Science,"Communication, Counseling, Marketing",Mental Health Basics,94,Data Entry Operator,0,Data Entry Operator,Other,Other,High School,1,"communication, counseling, marketing","['communication', 'counseling', 'marketing']",3,communication counseling marketing,0.0,0.5801862402425562,0.5765929117087545,0.0,0.0,0.0,0.5752604112925097,0.0,0.0,0.0
bachelors,Computer Science,"Counseling, Data Analysis",Mental Health Basics,61,Marketing Executive,0,Marketing Executive,Marketing Specialist,Business And Finance,Bachelors,2,"counseling, data analysis","['counseling', 'data analysis']",2,counseling data_analysis,0.0,0.0,0.7099507531893503,0.7042513244899681,0.0,0.0,0.0,0.0,0.0,0.0
intermediate,Finance,Python,Tally ERP,63,Data Entry Operator,0,Data Entry Operator,Other,Other,High School,1,python,['python'],1,python,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
matric,Business,Accounting,CFA Level 1,71,Clerk,0,Clerk,Other,Business And Finance,Bachelors,2,accounting,['accounting'],1,accounting,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matric,Business,"Counseling, Communication, Financial Analysis",Creative Writing,83,ML Engineer,0,ML Engineer,Machine Learning Engineer,Technology,High School,1,"counseling, communication, financial analysis","['counseling', 'communication', 'financial analysis']",3,counseling communication financial_analysis,0.0,0.5805548002131109,0.5769591890380352,0.0,0.5745208596161566,0.0,0.0,0.0,0.0,0.0
phd,Psychology,"Financial Analysis, Data Analysis",Tally ERP,88,Business Analyst,0,Business Analyst,Business Analyst,Business And Finance,Doctorate,4,"financial analysis, data analysis","['financial analysis', 'data analysis']",2,financial_analysis data_analysis,0.0,0.0,0.0,0.7057530831803482,0.7084578925959061,0.0,0.0,0.0,0.0,0.0
bachelors,Finance,MS Office,AWS Certified,67,Professor,0,Professor,Professor,Education,Bachelors,2,ms office,['ms office'],1,ms_office,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
masters,Science,"Machine Learning, Python",Tally ERP,60,ML Engineer,0,ML Engineer,Machine Learning Engineer,Technology,Masters,3,"machine learning, python","['machine learning', 'python']",2,machine_learning python,0.0,0.0,0.0,0.0,0.0,0.7180546688890427,0.0,0.0,0.6959867042455964,0.0
phd,Psychology,Financial Analysis,Digital Marketing,72,Professor,0,Professor,Professor,Education,Doctorate,4,financial analysis,['financial analysis'],1,financial_analysis,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bachelors,Psychology,"SQL, Counseling, MS Office",CFA Level 1,90,Clerk,0,Clerk,Other,Business And Finance,Bachelors,2,"sql, counseling, ms office","['sql', 'counseling', 'ms office']",3,sql counseling ms_office,0.0,0.0,0.5791974735000259,0.0,0.0,0.0,0.0,0.5749863615865597,0.0,0.5778589539676933
bachelors,Finance,"Python, Accounting, Communication",CFA Level 1,93,Research Scientist,0,Research Scientist,Research Analyst,Policy And Research,Bachelors,2,"python, accounting, communication","['python', 'accounting', 'communication']",3,python accounting communication,0.5754205126568432,0.5850269938195154,0.0,0.0,0.0,0.0,0.0,0.0,0.5715195973159946,0.0
matric,Psychology,"Counseling, Communication, Financial Analysis",Mental Health Basics,81,Business Analyst,0,Business Analyst,Business Analyst,Business And Finance,High School,1,"counseling, communication, financial analysis","['counseling', 'communication', 'financial analysis']",3,counseling communication financial_analysis,0.0,0.5805548002131109,0.5769591890380352,0.0,0.5745208596161566,0.0,0.0,0.0,0.0,0.0
matric,Psychology,"Data Analysis, Marketing, Python",Tally ERP,73,Data Entry Operator,0,Data Entry Operator,Other,Other,High School,1,"data analysis, marketing, python","['data analysis', 'marketing', 'python']",3,data_analysis marketing python,0.0,0.0,0.0,0.5779718010257521,0.0,0.0,0.5813027668129485,0.0,0.5727440008543602,0.0
masters,Finance,Data Analysis,Tally ERP,82,Junior Accountant,0,Junior Accountant,Accountant,Business And Finance,Masters,3,data analysis,['data analysis'],1,data_analysis,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
masters,Arts,"Accounting, Financial Analysis, SQL",Tally ERP,62,Research Scientist,0,Research Scientist,Research Analyst,Policy And Research,Masters,3,"accounting, financial analysis, sql","['accounting', 'financial analysis', 'sql']",3,accounting financial_analysis sql,0.5746287656466984,0.0,0.0,0.0,0.5781499732335924,0.0,0.0,0.0,0.0,0.5792619356917454
intermediate,Finance,"Marketing, Communication, Data Analysis",Digital Marketing,67,Data Entry Operator,0,Data Entry Operator,Other,Other,High School,1,"marketing, communication, data analysis","['marketing', 'communication', 'data analysis']",3,marketing communication data_analysis,0.0,0.5817346942138772,0.0,0.5734905791428276,0.0,0.0,0.5767957187621203,0.0,0.0,0.0
matric,Computer Science,"Counseling, Marketing",Unknown,95,Software Engineer,0,Software Engineer,Software Engineer,Technology,High School,1,"counseling, marketing","['counseling', 'marketing']",2,counseling marketing,0.0,0.0,0.7079243110200052,0.0,0.0,0.0,0.7062883050616448,0.0,0.0,0.0
intermediate,Computer Science,"Counseling, SQL, Python",AWS Certified,86,Clerk,0,Clerk,Other,Business And Finance,Bachelors,2,"counseling, sql, python","['counseling', 'sql', 'python']",3,counseling sql python,0.0,0.0,0.5810741418202365,0.0,0.0,0.0,0.0,0.0,0.5711956569528424,0.5797312853263024
masters,Arts,"Accounting, Python",Creative Writing,86,Clerk,0,Clerk,Other,Business And Finance,Masters,3,"accounting, python","['accounting', 'python']",2,accounting python,0.7095076536896497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7046977290695692,0.0
masters,Science,"Communication, Data Analysis",AWS Certified,85,School Counselor,0,School Counselor,Other,Other,Masters,3,"communication, data analysis","['communication', 'data analysis']",2,communication data_analysis,0.0,0.7121348233687004,0.0,0.7020427290027509,0.0,0.0,0.0,0.0,0.0,0.0
bachelors,Psychology,"SQL, Data Analysis",Google Data Analytics,73,ML Engineer,0,ML Engineer,Machine Learning Engineer,Technology,Bachelors,2,"sql, data analysis","['sql', 'data analysis']",2,sql data_analysis,0.0,0.0,0.0,0.7050721272299464,0.0,0.0,0.0,0.0,0.0,0.7091355973320181
bachelors,Commerce,Data Analysis,Tally ERP,66,Sales Assistant,0,Sales Assistant,Other,Business And Finance,Bachelors,2,data analysis,['data analysis'],1,data_analysis,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bachelors,Engineering,"Accounting, MS Office",AWS Certified,80,School Counselor,0,School Counselor,Other,Other,Bachelors,2,"accounting, ms office","['accounting', 'ms office']",2,accounting ms_office,0.7060286613572762,0.0,0.0,0.0,0.0,0.0,0.0,0.7081832597160516,0.0,0.0
