Pathway,Subject,Skills_Required,Competency_Type,Career,Industry_Sector
STEM,Chemistry,"Critical thinking, Analytical reasoning, Problem solving",Learning to Learn,Civil Engineer,Environmental Services
Arts & Sports,Fine Art,"Performance, Discipline, Creativity",Self-Efficacy,Choreographer,Sports Industry
STEM,Chemistry,"Data analysis, Analytical reasoning, Problem solving",Critical Thinking & Problem Solving,Data Scientist,Healthcare
TVET,Welding,"Maintenance, Safety compliance, Manual dexterity",Self-Efficacy,Hotel Manager,Construction
Business,Marketing,"Marketing analysis, Leadership, Strategic planning",Communication & Collaboration,Investment Analyst,Retail
STEM,Statistics,"Research, Analytical reasoning, Problem solving",Learning to Learn,Actuary,Engineering
STEM,Environmental Science,"Research, Problem solving, Analytical reasoning",Digital Literacy,Environmental Analyst,Healthcare
TVET,Automotive Technology,"Troubleshooting, Safety compliance, Manual dexterity",Critical Thinking & Problem Solving,Fashion Designer,Hospitality
Arts & Sports,Physical Education,"Performance, Public speaking, Coordination",Creativity & Imagination,Actor,Entertainment
TVET,Automotive Technology,"Maintenance, Customer service, Troubleshooting",Self-Efficacy,Plumber,Construction
STEM,Environmental Science,"Research, Analytical reasoning, Critical thinking",Digital Literacy,Actuary,Technology
Business,Commerce,"Financial literacy, Decision making, Leadership",Communication & Collaboration,Investment Analyst,Corporate Sector
STEM,Mathematics,"Analytical reasoning, Critical thinking, Programming",Learning to Learn,Doctor,Engineering
TVET,Fashion Design,"Customer service, Entrepreneurship, Safety compliance",Critical Thinking & Problem Solving,Construction Technician,Hospitality
Arts & Sports,Music,"Public speaking, Performance, Coordination",Self-Efficacy,Graphic Designer,Sports Industry
STEM,Computer Science,"Experimentation, Problem solving, Programming",Digital Literacy,Civil Engineer,Environmental Services
Business,Business Studies,"Strategic planning, Marketing analysis, Risk management",Learning to Learn,Operations Manager,Retail
Arts & Sports,Film Studies,"Design thinking, Discipline, Teamwork",Creativity & Imagination,Choreographer,Entertainment
STEM,Physics,"Problem solving, Programming, Critical thinking",Learning to Learn,Actuary,Environmental Services
Business,Finance,"Decision making, Leadership, Risk management",Communication & Collaboration,Entrepreneur,Finance
Social Sciences,Psychology,"Writing, Ethical reasoning, Policy analysis",Critical Thinking & Problem Solving,Social Worker,Public Policy
STEM,Environmental Science,"Analytical reasoning, Critical thinking, Research",Learning to Learn,Environmental Analyst,Healthcare
STEM,Biology,"Experimentation, Problem solving, Data analysis",Critical Thinking & Problem Solving,Environmental Analyst,Engineering
Arts & Sports,Drama,"Teamwork, Creativity, Public speaking",Communication & Collaboration,Film Producer,Sports Industry
Arts & Sports,Film Studies,"Creativity, Public speaking, Coordination",Communication & Collaboration,Actor,Sports Industry
Business,Supply Chain Management,"Negotiation, Risk management, Marketing analysis",Self-Efficacy,Investment Analyst,Finance
TVET,Fashion Design,"Technical skills, Troubleshooting, Safety compliance",Learning to Learn,Electrician,Hospitality
STEM,Mathematics,"Problem solving, Data analysis, Critical thinking",Digital Literacy,Laboratory Technologist,Environmental Services
TVET,Electrical Installation,"Troubleshooting, Entrepreneurship, Customer service",Learning to Learn,Fashion Designer,Hospitality
Business,Marketing,"Decision making, Marketing analysis, Negotiation",Self-Efficacy,Accountant,Entrepreneurship
Social Sciences,History,"Critical thinking, Research, Ethical reasoning",Critical Thinking & Problem Solving,Social Worker,Government
Arts & Sports,Film Studies,"Public speaking, Creativity, Teamwork",Self-Efficacy,Sports Coach,Creative Arts
TVET,Electrical Installation,"Maintenance, Customer service, Safety compliance",Critical Thinking & Problem Solving,Plumber,Hospitality
Arts & Sports,Graphic Design,"Creativity, Public speaking, Performance",Communication & Collaboration,Art Director,Creative Arts
Arts & Sports,Graphic Design,"Creativity, Performance, Discipline",Self-Efficacy,Art Director,Sports Industry
Business,Commerce,"Leadership, Marketing analysis, Risk management",Communication & Collaboration,Sales Director,Retail
Social Sciences,Political Science,"Critical thinking, Policy analysis, Communication",Citizenship,Policy Analyst,Public Policy
TVET,Welding,"Troubleshooting, Entrepreneurship, Safety compliance",Critical Thinking & Problem Solving,Fashion Designer,Hospitality
TVET,Fashion Design,"Technical skills, Manual dexterity, Maintenance",Learning to Learn,Plumber,Manufacturing
Social Sciences,Psychology,"Data interpretation, Writing, Ethical reasoning",Critical Thinking & Problem Solving,Social Worker,Education
TVET,Hospitality,"Technical skills, Customer service, Troubleshooting",Self-Efficacy,Auto Mechanic,Skilled Trades
STEM,Chemistry,"Analytical reasoning, Data analysis, Critical thinking",Critical Thinking & Problem Solving,Data Scientist,Technology
Social Sciences,Religious Studies,"Data interpretation, Policy analysis, Communication",Communication & Collaboration,Policy Analyst,Education
TVET,Welding,"Entrepreneurship, Technical skills, Manual dexterity",Self-Efficacy,Auto Mechanic,Skilled Trades
Social Sciences,Geography,"Writing, Policy analysis, Ethical reasoning",Critical Thinking & Problem Solving,Economist,Government
STEM,Chemistry,"Problem solving, Research, Experimentation",Learning to Learn,Software Engineer,Healthcare
TVET,Welding,"Technical skills, Safety compliance, Maintenance",Self-Efficacy,Auto Mechanic,Construction
Social Sciences,Sociology,"Research, Critical thinking, Writing",Critical Thinking & Problem Solving,Social Worker,NGO Sector
Business,Supply Chain Management,"Financial literacy, Leadership, Decision making",Self-Efficacy,Investment Analyst,Entrepreneurship
STEM,Physics,"Data analysis, Programming, Analytical reasoning",Learning to Learn,Laboratory Technologist,Technology
STEM,Physics,"Experimentation, Problem solving, Programming",Digital Literacy,Doctor,Healthcare
Business,Commerce,"Financial literacy, Decision making, Marketing analysis",Communication & Collaboration,Sales Director,Retail
TVET,Welding,"Troubleshooting, Manual dexterity, Customer service",Self-Efficacy,Plumber,Hospitality
Arts & Sports,Fine Art,"Performance, Teamwork, Public speaking",Communication & Collaboration,Actor,Creative Arts
Arts & Sports,Dance,"Creativity, Discipline, Performance",Self-Efficacy,Film Producer,Media
Social Sciences,Religious Studies,"Research, Communication, Data interpretation",Critical Thinking & Problem Solving,Policy Analyst,Education
STEM,Chemistry,"Critical thinking, Data analysis, Analytical reasoning",Digital Literacy,Software Engineer,Technology
TVET,Hospitality,"Maintenance, Manual dexterity, Safety compliance",Learning to Learn,Auto Mechanic,Hospitality
Arts & Sports,Fine Art,"Design thinking, Public speaking, Teamwork",Self-Efficacy,Musician,Media
TVET,Plumbing,"Safety compliance, Technical skills, Entrepreneurship",Learning to Learn,Electrician,Manufacturing
Business,Marketing,"Risk management, Strategic planning, Financial literacy",Self-Efficacy,Marketing Manager,Entrepreneurship
Social Sciences,Psychology,"Critical thinking, Policy analysis, Research",Communication & Collaboration,Policy Analyst,NGO Sector
Arts & Sports,Physical Education,"Performance, Teamwork, Discipline",Self-Efficacy,Film Producer,Media
Arts & Sports,Fine Art,"Discipline, Teamwork, Design thinking",Self-Efficacy,Sports Coach,Entertainment
STEM,Physics,"Experimentation, Analytical reasoning, Data analysis",Critical Thinking & Problem Solving,Environmental Analyst,Environmental Services
Social Sciences,Political Science,"Critical thinking, Policy analysis, Data interpretation",Citizenship,Counselor,NGO Sector
Arts & Sports,Film Studies,"Performance, Discipline, Public speaking",Communication & Collaboration,Choreographer,Media
STEM,Chemistry,"Analytical reasoning, Experimentation, Data analysis",Digital Literacy,Doctor,Environmental Services
Arts & Sports,Music,"Performance, Creativity, Coordination",Communication & Collaboration,Film Producer,Entertainment
STEM,Chemistry,"Experimentation, Critical thinking, Programming",Critical Thinking & Problem Solving,Environmental Analyst,Environmental Services
TVET,Fashion Design,"Manual dexterity, Safety compliance, Technical skills",Critical Thinking & Problem Solving,Construction Technician,Manufacturing
TVET,Carpentry,"Troubleshooting, Entrepreneurship, Technical skills",Self-Efficacy,Hotel Manager,Manufacturing
Arts & Sports,Film Studies,"Design thinking, Public speaking, Performance",Communication & Collaboration,Graphic Designer,Entertainment
Business,Finance,"Marketing analysis, Risk management, Strategic planning",Communication & Collaboration,Marketing Manager,Retail
Social Sciences,Sociology,"Ethical reasoning, Critical thinking, Research",Communication & Collaboration,Urban Planner,Government
Arts & Sports,Fine Art,"Public speaking, Discipline, Coordination",Creativity & Imagination,Art Director,Sports Industry
STEM,Computer Science,"Analytical reasoning, Data analysis, Programming",Learning to Learn,Software Engineer,Technology
Business,Commerce,"Strategic planning, Leadership, Negotiation",Self-Efficacy,Investment Analyst,Retail
Social Sciences,Sociology,"Ethical reasoning, Communication, Data interpretation",Communication & Collaboration,Urban Planner,Public Policy
Business,Business Studies,"Risk management, Decision making, Negotiation",Learning to Learn,Sales Director,Corporate Sector
STEM,Computer Science,"Research, Critical thinking, Analytical reasoning",Learning to Learn,Doctor,Technology
TVET,Hospitality,"Troubleshooting, Technical skills, Manual dexterity",Learning to Learn,Plumber,Manufacturing
TVET,Electrical Installation,"Manual dexterity, Troubleshooting, Customer service",Learning to Learn,Construction Technician,Skilled Trades
Arts & Sports,Film Studies,"Creativity, Discipline, Performance",Self-Efficacy,Actor,Creative Arts
Business,Accounting,"Decision making, Financial literacy, Marketing analysis",Learning to Learn,Entrepreneur,Finance
TVET,Carpentry,"Entrepreneurship, Safety compliance, Maintenance",Learning to Learn,Electrician,Skilled Trades
Business,Accounting,"Marketing analysis, Decision making, Negotiation",Communication & Collaboration,Investment Analyst,Finance
Social Sciences,Psychology,"Writing, Communication, Research",Critical Thinking & Problem Solving,Historian,Public Policy
Arts & Sports,Physical Education,"Coordination, Design thinking, Performance",Communication & Collaboration,Choreographer,Entertainment
Arts & Sports,Physical Education,"Public speaking, Coordination, Teamwork",Creativity & Imagination,Graphic Designer,Entertainment
TVET,Plumbing,"Maintenance, Manual dexterity, Customer service",Critical Thinking & Problem Solving,Fashion Designer,Hospitality
STEM,Mathematics,"Critical thinking, Problem solving, Data analysis",Learning to Learn,Civil Engineer,Engineering
Business,Finance,"Risk management, Financial literacy, Marketing analysis",Learning to Learn,Operations Manager,Finance
Arts & Sports,Dance,"Teamwork, Public speaking, Design thinking",Communication & Collaboration,Art Director,Media
TVET,Carpentry,"Technical skills, Customer service, Safety compliance",Learning to Learn,Electrician,Manufacturing
STEM,Biology,"Experimentation, Analytical reasoning, Critical thinking",Critical Thinking & Problem Solving,Civil Engineer,Engineering
Business,Supply Chain Management,"Strategic planning, Marketing analysis, Decision making",Learning to Learn,Business Manager,Entrepreneurship
Arts & Sports,Graphic Design,"Teamwork, Public speaking, Discipline",Self-Efficacy,Musician,Creative Arts
STEM,Statistics,"Critical thinking, Research, Analytical reasoning",Critical Thinking & Problem Solving,Data Scientist,Engineering
Arts & Sports,Drama,"Discipline, Performance, Teamwork",Self-Efficacy,Musician,Media
Arts & Sports,Music,"Design thinking, Teamwork, Performance",Communication & Collaboration,Choreographer,Media
Arts & Sports,Drama,"Coordination, Performance, Teamwork",Self-Efficacy,Choreographer,Entertainment
TVET,Welding,"Customer service, Maintenance, Entrepreneurship",Critical Thinking & Problem Solving,Auto Mechanic,Construction
Social Sciences,Political Science,"Ethical reasoning, Data interpretation, Writing",Citizenship,Diplomat,Public Policy
TVET,Hospitality,"Technical skills, Manual dexterity, Troubleshooting",Learning to Learn,Construction Technician,Skilled Trades
Business,Entrepreneurship,"Negotiation, Strategic planning, Financial literacy",Communication & Collaboration,Entrepreneur,Corporate Sector
Business,Marketing,"Leadership, Negotiation, Strategic planning",Communication & Collaboration,Sales Director,Retail
TVET,Carpentry,"Customer service, Safety compliance, Maintenance",Critical Thinking & Problem Solving,Construction Technician,Hospitality
Business,Finance,"Risk management, Negotiation, Leadership",Self-Efficacy,Investment Analyst,Corporate Sector
Business,Marketing,"Decision making, Financial literacy, Leadership",Self-Efficacy,Business Manager,Retail
Business,Entrepreneurship,"Negotiation, Financial literacy, Risk management",Self-Efficacy,Entrepreneur,Retail
Arts & Sports,Drama,"Coordination, Teamwork, Creativity",Creativity & Imagination,Actor,Sports Industry
Social Sciences,Sociology,"Research, Writing, Policy analysis",Citizenship,Urban Planner,Public Policy
Business,Business Studies,"Marketing analysis, Leadership, Risk management",Learning to Learn,Accountant,Corporate Sector
STEM,Environmental Science,"Critical thinking, Research, Data analysis",Critical Thinking & Problem Solving,Actuary,Engineering
TVET,Electrical Installation,"Troubleshooting, Safety compliance, Entrepreneurship",Self-Efficacy,Welder,Manufacturing
STEM,Environmental Science,"Critical thinking, Research, Analytical reasoning",Learning to Learn,Environmental Analyst,Engineering
TVET,Electrical Installation,"Manual dexterity, Technical skills, Maintenance",Learning to Learn,Construction Technician,Manufacturing
Arts & Sports,Fine Art,"Coordination, Teamwork, Design thinking",Communication & Collaboration,Sports Coach,Media
Arts & Sports,Drama,"Performance, Teamwork, Discipline",Creativity & Imagination,Film Producer,Creative Arts
TVET,Automotive Technology,"Entrepreneurship, Maintenance, Technical skills",Self-Efficacy,Auto Mechanic,Skilled Trades
Social Sciences,Economics,"Critical thinking, Ethical reasoning, Policy analysis",Critical Thinking & Problem Solving,Counselor,Education
Arts & Sports,Dance,"Teamwork, Discipline, Performance",Creativity & Imagination,Sports Coach,Sports Industry
Arts & Sports,Drama,"Teamwork, Design thinking, Coordination",Self-Efficacy,Sports Coach,Sports Industry
STEM,Statistics,"Critical thinking, Problem solving, Data analysis",Digital Literacy,Doctor,Healthcare
Social Sciences,Psychology,"Research, Writing, Communication",Critical Thinking & Problem Solving,Historian,Education
Business,Accounting,"Financial literacy, Leadership, Strategic planning",Self-Efficacy,Business Manager,Retail
STEM,Chemistry,"Analytical reasoning, Critical thinking, Problem solving",Critical Thinking & Problem Solving,Data Scientist,Engineering
Arts & Sports,Film Studies,"Teamwork, Discipline, Design thinking",Communication & Collaboration,Film Producer,Entertainment
Arts & Sports,Physical Education,"Public speaking, Teamwork, Creativity",Communication & Collaboration,Art Director,Sports Industry
Business,Commerce,"Marketing analysis, Leadership, Decision making",Learning to Learn,Sales Director,Finance
STEM,Physics,"Critical thinking, Data analysis, Problem solving",Learning to Learn,Laboratory Technologist,Technology
Social Sciences,Political Science,"Communication, Research, Data interpretation",Critical Thinking & Problem Solving,Urban Planner,Public Policy
Arts & Sports,Physical Education,"Coordination, Design thinking, Discipline",Creativity & Imagination,Film Producer,Sports Industry
TVET,Plumbing,"Maintenance, Manual dexterity, Safety compliance",Self-Efficacy,Hotel Manager,Construction
TVET,Plumbing,"Customer service, Maintenance, Technical skills",Critical Thinking & Problem Solving,Electrician,Skilled Trades
Arts & Sports,Dance,"Discipline, Creativity, Teamwork",Communication & Collaboration,Actor,Sports Industry
Arts & Sports,Fine Art,"Design thinking, Public speaking, Creativity",Communication & Collaboration,Musician,Sports Industry
Social Sciences,Economics,"Critical thinking, Ethical reasoning, Policy analysis",Citizenship,Social Worker,Education
STEM,Environmental Science,"Analytical reasoning, Problem solving, Programming",Digital Literacy,Civil Engineer,Technology
STEM,Mathematics,"Data analysis, Problem solving, Analytical reasoning",Digital Literacy,Doctor,Technology
TVET,Automotive Technology,"Troubleshooting, Safety compliance, Manual dexterity",Critical Thinking & Problem Solving,Plumber,Skilled Trades
Social Sciences,Economics,"Critical thinking, Data interpretation, Communication",Critical Thinking & Problem Solving,Social Worker,Government
Arts & Sports,Film Studies,"Design thinking, Coordination, Discipline",Creativity & Imagination,Choreographer,Entertainment
Arts & Sports,Graphic Design,"Discipline, Creativity, Coordination",Creativity & Imagination,Art Director,Creative Arts
Business,Marketing,"Strategic planning, Negotiation, Risk management",Learning to Learn,Marketing Manager,Corporate Sector
TVET,Automotive Technology,"Customer service, Manual dexterity, Entrepreneurship",Self-Efficacy,Electrician,Manufacturing
Arts & Sports,Graphic Design,"Discipline, Performance, Creativity",Self-Efficacy,Graphic Designer,Entertainment
Social Sciences,Economics,"Critical thinking, Writing, Policy analysis",Citizenship,Historian,Public Policy
Arts & Sports,Graphic Design,"Creativity, Performance, Discipline",Creativity & Imagination,Art Director,Media
Business,Finance,"Strategic planning, Decision making, Risk management",Communication & Collaboration,Sales Director,Retail
Business,Commerce,"Risk management, Decision making, Strategic planning",Learning to Learn,Accountant,Corporate Sector
Social Sciences,History,"Policy analysis, Research, Ethical reasoning",Citizenship,Diplomat,Public Policy
Arts & Sports,Fine Art,"Creativity, Discipline, Coordination",Creativity & Imagination,Musician,Entertainment
Arts & Sports,Dance,"Creativity, Design thinking, Discipline",Self-Efficacy,Graphic Designer,Media
Social Sciences,Religious Studies,"Critical thinking, Communication, Research",Critical Thinking & Problem Solving,Historian,Public Policy
Social Sciences,History,"Data interpretation, Ethical reasoning, Critical thinking",Communication & Collaboration,Economist,Government
Arts & Sports,Film Studies,"Creativity, Coordination, Discipline",Creativity & Imagination,Film Producer,Entertainment
Business,Business Studies,"Risk management, Financial literacy, Strategic planning",Self-Efficacy,Marketing Manager,Retail
Arts & Sports,Dance,"Creativity, Public speaking, Coordination",Communication & Collaboration,Sports Coach,Media
Arts & Sports,Physical Education,"Design thinking, Public speaking, Performance",Self-Efficacy,Graphic Designer,Creative Arts
Arts & Sports,Physical Education,"Public speaking, Design thinking, Discipline",Self-Efficacy,Film Producer,Creative Arts
Social Sciences,Religious Studies,"Communication, Writing, Critical thinking",Citizenship,Policy Analyst,Government
STEM,Statistics,"Experimentation, Data analysis, Analytical reasoning",Learning to Learn,Actuary,Engineering
Social Sciences,Political Science,"Research, Writing, Communication",Citizenship,Counselor,Government
Arts & Sports,Dance,"Discipline, Public speaking, Design thinking",Creativity & Imagination,Art Director,Sports Industry
Business,Entrepreneurship,"Decision making, Leadership, Negotiation",Learning to Learn,Marketing Manager,Retail
STEM,Physics,"Problem solving, Experimentation, Programming",Digital Literacy,Actuary,Healthcare
Social Sciences,Geography,"Communication, Ethical reasoning, Policy analysis",Citizenship,Counselor,NGO Sector
Social Sciences,Economics,"Communication, Writing, Ethical reasoning",Critical Thinking & Problem Solving,Counselor,Government
Social Sciences,Political Science,"Research, Policy analysis, Writing",Communication & Collaboration,Policy Analyst,NGO Sector
STEM,Statistics,"Programming, Problem solving, Analytical reasoning",Learning to Learn,Environmental Analyst,Healthcare
Social Sciences,Psychology,"Critical thinking, Communication, Policy analysis",Critical Thinking & Problem Solving,Policy Analyst,Government
STEM,Mathematics,"Experimentation, Programming, Analytical reasoning",Critical Thinking & Problem Solving,Environmental Analyst,Environmental Services
TVET,Hospitality,"Manual dexterity, Maintenance, Technical skills",Critical Thinking & Problem Solving,Welder,Manufacturing
STEM,Environmental Science,"Analytical reasoning, Problem solving, Data analysis",Critical Thinking & Problem Solving,Actuary,Healthcare
Business,Business Studies,"Financial literacy, Negotiation, Decision making",Communication & Collaboration,Entrepreneur,Retail
Social Sciences,Economics,"Critical thinking, Writing, Ethical reasoning",Citizenship,Economist,Public Policy
Business,Finance,"Negotiation, Risk management, Strategic planning",Self-Efficacy,Business Manager,Corporate Sector
TVET,Plumbing,"Maintenance, Entrepreneurship, Technical skills",Self-Efficacy,Welder,Construction
STEM,Computer Science,"Research, Experimentation, Programming",Digital Literacy,Actuary,Healthcare
Arts & Sports,Physical Education,"Performance, Coordination, Teamwork",Self-Efficacy,Art Director,Creative Arts
Arts & Sports,Drama,"Performance, Discipline, Teamwork",Communication & Collaboration,Sports Coach,Creative Arts
STEM,Environmental Science,"Programming, Problem solving, Experimentation",Digital Literacy,Environmental Analyst,Engineering
Business,Commerce,"Strategic planning, Decision making, Negotiation",Self-Efficacy,Operations Manager,Retail
Arts & Sports,Drama,"Discipline, Creativity, Public speaking",Communication & Collaboration,Musician,Creative Arts
STEM,Computer Science,"Critical thinking, Data analysis, Programming",Learning to Learn,Laboratory Technologist,Environmental Services
TVET,Plumbing,"Maintenance, Entrepreneurship, Technical skills",Learning to Learn,Hotel Manager,Hospitality
Arts & Sports,Music,"Coordination, Teamwork, Public speaking",Communication & Collaboration,Sports Coach,Entertainment
Arts & Sports,Dance,"Design thinking, Discipline, Creativity",Creativity & Imagination,Graphic Designer,Entertainment
Social Sciences,Sociology,"Critical thinking, Ethical reasoning, Writing",Critical Thinking & Problem Solving,Diplomat,Government
STEM,Environmental Science,"Programming, Analytical reasoning, Critical thinking",Critical Thinking & Problem Solving,Civil Engineer,Engineering
Social Sciences,Economics,"Data interpretation, Writing, Communication",Critical Thinking & Problem Solving,Social Worker,Government
Business,Supply Chain Management,"Decision making, Financial literacy, Leadership",Learning to Learn,Investment Analyst,Retail
TVET,Plumbing,"Customer service, Maintenance, Manual dexterity",Self-Efficacy,Plumber,Manufacturing
Arts & Sports,Graphic Design,"Design thinking, Creativity, Teamwork",Self-Efficacy,Choreographer,Sports Industry
TVET,Hospitality,"Customer service, Manual dexterity, Maintenance",Critical Thinking & Problem Solving,Plumber,Manufacturing
Business,Entrepreneurship,"Leadership, Financial literacy, Strategic planning",Learning to Learn,Marketing Manager,Finance
STEM,Computer Science,"Experimentation, Analytical reasoning, Critical thinking",Digital Literacy,Doctor,Healthcare
Arts & Sports,Film Studies,"Performance, Discipline, Teamwork",Communication & Collaboration,Graphic Designer,Creative Arts
Business,Supply Chain Management,"Decision making, Financial literacy, Risk management",Self-Efficacy,Sales Director,Corporate Sector
STEM,Computer Science,"Critical thinking, Analytical reasoning, Research",Digital Literacy,Laboratory Technologist,Healthcare
TVET,Carpentry,"Technical skills, Manual dexterity, Entrepreneurship",Critical Thinking & Problem Solving,Hotel Manager,Construction
TVET,Plumbing,"Safety compliance, Manual dexterity, Troubleshooting",Learning to Learn,Hotel Manager,Hospitality
STEM,Biology,"Data analysis, Experimentation, Research",Learning to Learn,Laboratory Technologist,Healthcare
Business,Supply Chain Management,"Financial literacy, Strategic planning, Risk management",Self-Efficacy,Investment Analyst,Corporate Sector
STEM,Mathematics,"Analytical reasoning, Programming, Experimentation",Learning to Learn,Laboratory Technologist,Healthcare
TVET,Electrical Installation,"Troubleshooting, Manual dexterity, Safety compliance",Learning to Learn,Hotel Manager,Construction
Social Sciences,History,"Communication, Ethical reasoning, Writing",Citizenship,Counselor,Government
Social Sciences,Religious Studies,"Critical thinking, Communication, Data interpretation",Critical Thinking & Problem Solving,Counselor,Government
Social Sciences,Sociology,"Writing, Critical thinking, Communication",Critical Thinking & Problem Solving,Counselor,NGO Sector
Business,Marketing,"Leadership, Financial literacy, Negotiation",Self-Efficacy,Investment Analyst,Corporate Sector
STEM,Physics,"Programming, Experimentation, Critical thinking",Critical Thinking & Problem Solving,Data Scientist,Technology
Arts & Sports,Music,"Creativity, Discipline, Teamwork",Communication & Collaboration,Choreographer,Entertainment
STEM,Environmental Science,"Programming, Research, Data analysis",Digital Literacy,Laboratory Technologist,Environmental Services
STEM,Biology,"Programming, Experimentation, Critical thinking",Critical Thinking & Problem Solving,Doctor,Engineering
Business,Entrepreneurship,"Risk management, Decision making, Marketing analysis",Learning to Learn,Business Manager,Entrepreneurship
Arts & Sports,Graphic Design,"Coordination, Performance, Design thinking",Communication & Collaboration,Graphic Designer,Media
Business,Marketing,"Decision making, Risk management, Marketing analysis",Communication & Collaboration,Investment Analyst,Retail
STEM,Statistics,"Research, Analytical reasoning, Programming",Digital Literacy,Software Engineer,Healthcare
Arts & Sports,Physical Education,"Design thinking, Coordination, Discipline",Self-Efficacy,Musician,Sports Industry
Social Sciences,Economics,"Research, Writing, Critical thinking",Communication & Collaboration,Urban Planner,Education
STEM,Statistics,"Data analysis, Experimentation, Problem solving",Critical Thinking & Problem Solving,Actuary,Environmental Services
Business,Accounting,"Marketing analysis, Financial literacy, Decision making",Self-Efficacy,Sales Director,Entrepreneurship
Social Sciences,Political Science,"Communication, Ethical reasoning, Writing",Communication & Collaboration,Diplomat,Public Policy
Social Sciences,Political Science,"Critical thinking, Writing, Data interpretation",Critical Thinking & Problem Solving,Urban Planner,Government
TVET,Plumbing,"Entrepreneurship, Maintenance, Manual dexterity",Learning to Learn,Electrician,Manufacturing
Social Sciences,Sociology,"Ethical reasoning, Writing, Research",Citizenship,Policy Analyst,Education
TVET,Welding,"Troubleshooting, Maintenance, Customer service",Learning to Learn,Auto Mechanic,Hospitality
TVET,Welding,"Safety compliance, Troubleshooting, Customer service",Critical Thinking & Problem Solving,Electrician,Construction
Business,Marketing,"Decision making, Negotiation, Strategic planning",Communication & Collaboration,Entrepreneur,Entrepreneurship
Social Sciences,Sociology,"Communication, Writing, Policy analysis",Critical Thinking & Problem Solving,Economist,NGO Sector
TVET,Plumbing,"Customer service, Entrepreneurship, Troubleshooting",Critical Thinking & Problem Solving,Construction Technician,Manufacturing
Social Sciences,Psychology,"Policy analysis, Research, Data interpretation",Critical Thinking & Problem Solving,Urban Planner,Education
TVET,Automotive Technology,"Safety compliance, Entrepreneurship, Troubleshooting",Learning to Learn,Welder,Skilled Trades
TVET,Hospitality,"Safety compliance, Entrepreneurship, Maintenance",Critical Thinking & Problem Solving,Auto Mechanic,Hospitality
Business,Supply Chain Management,"Financial literacy, Leadership, Marketing analysis",Communication & Collaboration,Business Manager,Entrepreneurship
Social Sciences,Sociology,"Data interpretation, Ethical reasoning, Communication",Critical Thinking & Problem Solving,Historian,NGO Sector
TVET,Automotive Technology,"Customer service, Safety compliance, Manual dexterity",Critical Thinking & Problem Solving,Construction Technician,Construction
Arts & Sports,Dance,"Design thinking, Coordination, Teamwork",Communication & Collaboration,Actor,Creative Arts
TVET,Welding,"Maintenance, Safety compliance, Manual dexterity",Critical Thinking & Problem Solving,Plumber,Construction
STEM,Chemistry,"Problem solving, Data analysis, Critical thinking",Digital Literacy,Civil Engineer,Healthcare
STEM,Chemistry,"Programming, Experimentation, Analytical reasoning",Learning to Learn,Civil Engineer,Technology
Social Sciences,Psychology,"Writing, Data interpretation, Policy analysis",Critical Thinking & Problem Solving,Urban Planner,Education
Arts & Sports,Music,"Design thinking, Creativity, Discipline",Self-Efficacy,Musician,Sports Industry
STEM,Physics,"Analytical reasoning, Experimentation, Problem solving",Learning to Learn,Environmental Analyst,Technology
TVET,Electrical Installation,"Technical skills, Entrepreneurship, Safety compliance",Critical Thinking & Problem Solving,Welder,Manufacturing
